medida500_l,medida500_m,grade
177.591,91.306,6to
410.137,375.717,6to
359.806,405.937,6to
352.625,238.948,6to
464.303,358.7,6to
396.931,345.637,6to
420.423,335.399,6to
394.009,298.895,6to
324.081,241.843,6to
390.601,353.122,6to
418.293,360.889,6to
346.599,492.503,6to
500.271,385.814,6to
418.293,378.117,6to
680.357,585.353,6to
462.477,459.882,6to
420.423,385.814,6to
472.337,394.71,6to
464.303,457.481,6to
551.637,528.443,6to
447.384,481.77,6to
371.735,360.889,6to
447.384,335.399,6to
458.886,410.95,6to
516.947,633.79,6to
390.601,385.814,6to
299.98,378.117,6to
171.079,325.796,6to
373.743,294.235,6to
403.869,342.672,6to
438.498,512.344,6to
533.136,428.532,6to
516.947,509.873,6to
529.606,464.824,6to
604.16,493.491,6to
529.606,492.927,6to
573.791,598.627,6to
473.493,499.564,6to
574.399,410.95,6to
580.181,621.363,6to
533.136,528.443,6to
473.493,401.559,6to
500.515,476.192,6to
502.462,445.195,6to
602.943,528.443,6to
617.427,681.804,6to
472.337,476.192,6to
603.003,533.526,6to
602.943,598.627,6to
587.788,539.316,6to
574.399,511.567,6to
603.003,512.344,6to
617.427,539.316,6to
574.399,459.529,6to
424.805,392.168,6to
516.947,633.79,6to
420.423,385.814,6to
551.637,602.723,6to
580.181,533.526,6to
551.637,598.627,6to
514.452,518.557,6to
533.866,428.037,6to
686.93,527.737,6to
515.852,427.049,6to
489.499,424.507,6to
551.637,571.514,6to
514.452,432.698,6to
532.588,551.602,6to
603.003,585.353,6to
488.465,528.443,6to
546.221,499.564,6to
574.399,511.567,6to
515.608,424.507,6to
602.943,459.882,6to
473.493,499.564,6to
458.886,427.049,6to
580.181,408.338,6to
488.465,475.91,6to
587.788,518.557,6to
500.515,511.567,6to
476.84,424.507,6to
365.405,345.637,6to
617.427,626.094,6to
500.515,427.049,6to
561.253,512.344,6to
475.319,571.514,6to
617.427,518.557,6to
500.515,443.148,6to
489.499,457.481,6to
551.637,586.412,6to
617.427,626.094,6to
532.588,602.723,6to
544.638,533.526,6to
410.989,509.873,6to
529.606,539.316,6to
574.399,575.044,6to
410.137,375.717,6to
516.947,492.503,6to
418.293,322.76,6to
515.608,533.526,6to
365.405,363.784,6to
617.427,681.804,6to
486.091,394.71,6to
561.253,557.251,6to
602.943,459.882,6to
473.493,432.698,6to
352.625,238.948,6to
424.257,428.532,6to
473.493,369.786,6to
252.814,300.307,6to
476.84,440.747,6to
514.452,464.824,6to
604.16,511.567,6to
489.499,424.507,6to
515.852,551.602,6to
573.791,528.443,6to
587.788,499.564,6to
551.637,575.044,6to
464.303,440.747,6to
467.468,464.824,6to
651.266,530.773,6to
515.608,408.338,6to
488.465,633.79,6to
420.423,417.093,6to
574.399,530.773,6to
410.137,358.7,6to
573.791,548.637,6to
472.337,443.148,6to
561.253,424.507,6to
396.931,380.8,6to
500.271,590.437,6to
632.947,533.526,6to
680.357,557.251,6to
405.999,448.514,6to
418.293,273.687,6to
464.303,492.927,6to
461.443,464.048,6to
405.999,481.77,6to
432.108,443.148,6to
489.499,440.747,6to
437.159,444.136,6to
301.685,353.122,6to
458.886,443.148,6to
529.606,512.344,6to
551.637,509.873,6to
420.423,417.093,6to
486.091,459.529,6to
464.303,457.481,6to
449.879,492.503,6to
495.829,514.886,6to
546.221,448.514,6to
418.293,360.889,6to
476.84,358.7,6to
514.452,369.786,6to
551.577,538.328,6to
451.583,440.747,6to
437.159,276.653,6to
565.148,432.698,6to
532.588,443.148,6to
434.116,448.514,6to
632.947,512.344,6to
462.477,459.882,6to
565.148,481.77,6to
500.515,443.148,6to
502.28,424.507,6to
346.599,380.8,6to
473.493,481.77,6to
432.108,427.049,6to
515.608,533.526,6to
324.081,363.784,6to
565.148,626.094,6to
651.266,511.567,6to
573.791,428.532,6to
486.7,562.758,6to
516.947,548.637,6to
447.384,401.559,6to
502.28,408.338,6to
434.116,385.814,6to
472.702,420.553,6to
460.469,464.824,6to
532.588,530.773,6to
490.838,445.195,6to
