"from","to","weight"
"p10_01","p17_04",0.00206271708438553
"p13_05","p16_06",0.00199890915648993
"p13_10","p19_01",0.00198934411460079
"p13_05","p13_13",0.00184893639091958
"p13_05","p18_07",0.00180989958845192
"p13_04","p13_12",0.001809109580194
"p08_12","p11_07",0.00170419042704778
"p10_01","p10_05",0.00168978488763034
"p13_11","p19_06",0.00143603166268695
"p08_12","p11_10",0.00143062890241257
"p10_03","p16_04",0.00142659370485511
"p11_01","p13_12",0.00134337302681996
"p10_03","p19_02",0.00128658212883029
"p13_06","p13_12",0.00126853295693631
"p08_09","p11_11",0.00119373443695857
"p18_03","p19_09",0.00110857110165742
"p13_12","p19_01",0.00102124986078057
"p18_03","p19_08",0.001010365553248
"p11_07","p18_01",0.000906493103119261
"p18_09","p19_05",0.000846349546171454
"p11_10","p16_04",0.00078842183020865
"p13_02","p13_14",0.000668906105502609
"p15_09","p16_04",0.000584642854882955
"p13_08","p13_13",0.000553714181670568
"p18_09","p20_08",0.000548094281539394
"p18_02","p19_02",0.000504911929171757
"p13_11","p19_09",0.000397626279863167
"p17_04","p18_07",0.000263844127923409
"p13_12","p19_02",0.000154820509741199
